,BEHGTRUU INDEX,BEBGTRUU INDEX,S&P U.S. Treasury Bond Current 7-Year Index,S&P 500 Investment Grade Corporate Bond Index,S&P 500,VEIEX- MSCI Emerging Markets Index,EURO STOXX 50 ETF3
BEHGTRUU INDEX,3.209850662827682e-06,3.216310896508866e-06,2.5085139496022035e-06,2.618437000300324e-06,1.2785829223376854e-06,5.235628169334296e-06,2.6663440558669658e-06
BEBGTRUU INDEX,3.216310896508866e-06,9.004851101468433e-06,-6.749204274429251e-07,2.5664575295380654e-07,8.076165957563528e-06,1.4083001188399694e-05,1.1502239350333967e-05
S&P U.S. Treasury Bond Current 7-Year Index,2.5085139496022035e-06,-6.749204274429251e-07,7.855338936366373e-06,6.119790473904815e-06,-9.426439402791648e-06,-7.295863082738537e-06,-1.077866075946354e-05
S&P 500 Investment Grade Corporate Bond Index,2.618437000300324e-06,2.5664575295380654e-07,6.119790473904815e-06,6.011988831288065e-06,-6.349525434423119e-06,-4.411436128171436e-06,-7.320915195116794e-06
S&P 500,1.2785829223376854e-06,8.076165957563528e-06,-9.426439402791648e-06,-6.349525434423119e-06,6.957042729921503e-05,5.762928869294966e-05,6.960377742010071e-05
VEIEX- MSCI Emerging Markets Index,5.235628169334296e-06,1.4083001188399694e-05,-7.295863082738537e-06,-4.411436128171436e-06,5.762928869294966e-05,8.980673543676788e-05,7.294320620042338e-05
EURO STOXX 50 ETF3,2.6663440558669658e-06,1.1502239350333967e-05,-1.077866075946354e-05,-7.320915195116794e-06,6.960377742010071e-05,7.294320620042338e-05,0.0001235295437348973
